id,namaResto,jenisResto,alamatResto,namaProduk,hargaProduk,gambarProduk-src
1,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng Telor Dadar + Teh Pucuk,34000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
2,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng Telor Dadar + Teh Pucuk,34000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
3,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ayam Goreng Tanpa Nasi,20000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
4,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng,26000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
5,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng + Tahu Tempe,30000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
6,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng + Sate Kulit,30000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
7,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ikan Lele Goreng,22000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
8,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ikan Lele Goreng Tanpa Nasi,17000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
9,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Telor Dadar,6000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
10,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Putih,7000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
11,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Indomie Goreng + Telor Rebus,16000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
12,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Indomie Goreng Double + Telor Rebus,22000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
13,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Indomie Goreng Double + Telur Campur,22000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
14,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Indomie Goreng + Telur Campur,16000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
15,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Penyet Sambel Ijo + Tahu Tempe,30000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
16,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Bakar,27000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
17,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ayam Bakar Tanpa Nasi,21000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
18,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Bebek Goreng + Nasi,38000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
19,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Bebek Goreng Tanpa Nasi,31000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
20,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Lele Bakar,24000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
21,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Lele Bakar Tanpa Nasi,18000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
22,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nila Goreng + Nasi,27000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
23,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nila Goreng Tanpa Nasi,21000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
24,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ikan Kembung Goreng,26000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
25,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ikan Kembung Goreng,20000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
26,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Kol Goreng,5000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
27,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Sambal Bawang / Korek,22000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
28,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Kucing Teri,4000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
