id,namaResto,jenisResto,alamatResto,namaProduk,kadunganNutrisi (kal),hargaProduk,gambarProduk-src,coordinates
1,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng Telor Dadar + Teh Pucuk,701.0,34000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
2,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ayam Goreng Tanpa Nasi,270.0,20000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
3,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng,450.0,26000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
4,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng + Tahu Tempe,533.0,30000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
5,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ayam Goreng + Sate Kulit,918.0,30000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
6,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Ikan Lele Goreng,308.0,22000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
7,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Ikan Lele Goreng Tanpa Nasi,105.0,17000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
8,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Telor Dadar,93.0,6000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
9,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Nasi Putih,204.0,7000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
10,"Angkringan Jogja Lumintu, Prof Dr Satrio",Aneka nasi,"Jl. Prof Dr Satrio No. 275, Kuningan, Jakarta",Indomie Goreng + Telor Rebus,457.0,16000.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","(-6.2183799, 106.819757)"
